"pol_id","losspaid","class4","tgroup"
6733,5002,1101,3
6742,1359,1263,5
6763,374,1101,4
6772,4495,1101,5
6776,153,1101,3
6789,318,1101,5
6797,2876,1101,4
6805,357,1152,3
6810,243,1101,5
6811,3424,1101,2
6830,37,1101,5
6839,694,1101,5
6853,7866,1263,6
6855,532,1101,5
6855,954,1101,5
6860,752,1243,2
6872,328,1101,6
6872,437,1101,6
6881,394,1101,5
6893,1570,1101,4
6895,1916,1101,3
6898,447,1101,1
6898,22,1101,1
6913,1911,1101,2
6918,268,1241,4
6923,729,1101,1
6937,2055,1152,4
6949,1684,1101,5
6951,4235,1101,5
6961,1052,1207,3
6965,348,1101,3
6989,511,1101,4
6989,355,1101,4
6997,1551,1101,5
7014,344,1162,5
7022,1050,1162,5
7029,3899,1101,6
7031,2242,1101,6
7053,683,1101,3
7067,923,1152,4
7079,650,1101,5
7079,16483,1101,5
7089,168,1101,5
7109,300,1101,5
7130,516,1101,6
7135,4688,1101,1
7163,736,1101,2
7170,772,1152,6
7186,256,1101,5
7186,738,1101,5
7204,1943,1101,3
7217,385,1101,1
7218,773,1101,5
7236,1528,1101,2
7240,731,1101,1
7244,1308,1101,2
7248,1977,1162,1
7249,1661,1101,6
7249,246,1101,6
7259,873,1101,3
7264,1009,1162,5
7268,1300,1101,4
7268,17321,1101,4
7268,1670,1101,4
7280,4191,1152,2
7284,1274,1101,6
7298,1641,1241,5
7301,2612,1101,6
7302,4060,1101,2
7302,6055,1101,2
7302,521,1101,2
7311,1523,1152,1
7319,307,1162,5
7323,433,1152,4
7343,2746,1162,1
7348,707,1106,5
7372,1618,1263,1
7383,283,1101,4
7391,366,1246,6
7404,441,1162,5
7410,849,1101,3
7432,3821,1101,5
7432,467,1101,5
7435,1109,1101,4
7440,5961,1101,3
7443,620,1101,6
7444,306,1162,4
7447,966,1162,6
7450,439,1101,4
7457,9647,1101,2
7457,6251,1101,2
7463,2775,1263,5
7472,1231,1101,2
7480,1755,1101,4
7510,3433,1101,4
7511,5,1101,5
7515,800,1101,3
7518,427,1101,1
7530,464,1101,1
7530,11461,1101,1
7530,1630,1101,1
7533,1879,1104,2
7533,3830,1104,2
7541,3057,1101,2
7542,1803,1101,3
7556,1050,1101,2
7571,512,1101,2
7575,705,1101,5
7584,3374,1404,3
7584,1000,1404,3
7585,1365,1101,1
7585,659,1152,1
7587,435,1246,3
7593,536,1268,2
7602,533,1101,6
7615,4211,1101,1
7617,4340,1101,4
7626,1371,1101,2
7648,4824,1404,5
7666,3492,1101,5
7687,2235,1152,4
7708,813,1101,5
7710,1045,1101,5
7719,2317,1101,3
7736,2646,1101,5
7752,1713,1101,1
7760,1779,1101,1
7770,2981,1101,5
7802,1993,1101,2
7809,590,1101,2
7820,922,1101,6
7826,445,1101,1
7834,812,1101,5
7855,5191,1101,4
7863,2469,1101,1
7876,1486,1152,1
7877,2100,1152,1
7880,1171,1152,1
7883,1527,1101,6
7904,6000,1152,5
7920,3349,1101,4
7934,596,1101,4
7945,627,1101,5
7953,331,1101,2
7954,1373,1101,6
7959,409,1152,6
7970,45,1269,2
7976,226,1152,2
7983,2109,1101,2
7983,2717,1101,2
8046,2958,1162,4
8058,5378,1268,2
8062,444,1162,6
8069,501,1423,5
8075,4695,1243,4
8088,5000,1106,6
8118,1747,1101,6
8119,1090,1101,5
8119,500,1101,5
8131,492,1268,2
8131,10491,1268,2
8134,2067,1101,6
8150,7546,1101,5
8158,1002,1101,1
8164,1762,1243,1
8165,688,1101,5
8186,2992,1269,6
8189,811,1101,1
8210,7663,1101,1
8210,1507,1101,1
8223,2254,1101,4
8226,1654,1101,6
8226,2905,1101,6
8239,2369,1261,5
8239,226,1261,5
8266,656,1101,2
8266,141,1101,2
8282,971,1162,3
8286,3613,1101,5
8297,1107,1101,2
8317,410,1101,4
8327,4680,1101,5
8346,504,1101,5
8350,2479,1101,2
8356,1415,1101,4
8357,3471,1269,3
8365,698,1101,1
8368,2169,1101,4
8371,421,1101,5
8376,1142,1101,2
8376,1611,1101,2
8384,2511,1101,2
8408,3545,1101,5
8432,21652,1268,5
8432,20000,1268,5
8434,1008,1101,6
8446,424,1101,6
